Date,Open,High,Low,Close,Adj Close,Volume,M_Y_Date
4/27/2015,212.330002,212.479996,210.539993,210.770004,195.483307,79358100,4-2015
4/28/2015,210.740005,211.5,209.330002,211.440002,196.104706,86863500,4-2015
4/29/2015,211.440002,211.440002,209.600006,210.570007,195.297806,125684900,4-2015
4/30/2015,209.880005,210.350006,207.619995,208.460007,193.340836,161304900,4-2015
5/1/2015,209.399994,210.770004,209.279999,210.720001,195.43692,103399700,5-2015
5/4/2015,211.229996,212.020004,211.100006,211.320007,195.993423,70927200,5-2015
5/5/2015,211.029999,211.460007,208.729996,208.899994,193.748932,113326200,5-2015
5/6/2015,209.559998,209.929993,206.759995,208.039993,192.951294,135060200,5-2015
5/7/2015,207.919998,209.380005,207.520004,208.869995,193.721054,88244900,5-2015
5/8/2015,210.880005,211.860001,210.779999,211.619995,196.271622,155877300,5-2015
5/11/2015,211.570007,211.889999,210.520004,210.610001,195.3349,75708100,5-2015
5/12/2015,209.610001,210.630005,208.619995,209.979996,194.750595,119727600,5-2015
5/13/2015,210.470001,211.220001,209.740005,210.020004,194.787689,94667900,5-2015
5/14/2015,211.240005,212.320007,210.910004,212.210007,196.818832,95934000,5-2015
5/15/2015,212.440002,212.610001,211.860001,212.440002,197.032166,76510100,5-2015
5/18/2015,212.240005,213.399994,212.160004,213.100006,197.644302,72785600,5-2015
5/19/2015,213.240005,213.570007,212.690002,213.029999,197.579391,72114600,5-2015
5/20/2015,213.149994,213.779999,212.5,212.880005,197.440262,76857500,5-2015
5/21/2015,212.710007,213.75,212.509995,213.5,198.015305,64764600,5-2015
5/22/2015,213.039993,213.539993,212.910004,212.990005,197.542282,57433500,5-2015
5/26/2015,212.399994,212.910004,210.199997,210.699997,195.418396,124308600,5-2015
5/27/2015,211.25,212.979996,210.759995,212.699997,197.273315,93214000,5-2015
5/28/2015,212.330002,212.589996,211.630005,212.460007,197.050705,74974600,5-2015
5/29/2015,212.380005,212.429993,210.820007,211.139999,195.826462,111964800,5-2015
6/1/2015,211.940002,212.339996,210.619995,211.570007,196.225296,93338800,6-2015
6/2/2015,211.020004,212.190002,210.270004,211.360001,196.030502,89527800,6-2015
6/3/2015,212,212.669998,211.330002,211.919998,196.549927,87820900,6-2015
